"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048732","gland development","48/788","441/18903",1.27292680216474e-09,6.5963066888177e-06,5.33289333959545e-06,"PCSK9/HMGCS2/ZBTB7B/PROX1/EDAR/SERPINE2/UGT1A8/UGT1A10/TDGF1/CLCN2/EPHB3/CLDN1/MSX1/AREG/LEF1/EDNRA/ITGA2/NR3C1/MSX2/SLC29A1/TCF21/CITED2/MET/WNT2/PTN/SHH/SULF1/CDKN2B/FGFR2/CCND1/E2F7/PDX1/BRCA2/BMP4/STRA6/RPGRIP1L/SLC7A5/CDK5RAP3/NME1/SOX9/BCL2/SERPINB5/BMP2/AURKA/BMP7/PCK1/HMOX1/APLN",48
"GO:0034308","primary alcohol metabolic process","21/788","108/18903",3.20971077795037e-09,8.31636062566941e-06,6.72349941907499e-06,"RETSAT/DHRS9/CLCN2/SULT1B1/NAAA/ADH6/ADH1C/BMP6/BMP5/AKR1B10/CEL/AKR1C2/DGAT2/RDH5/EDNRB/SCNN1B/SULT1A2/SULT1A1/GDPD3/HSD11B2/BMP2",21
"GO:0051216","cartilage development","29/788","201/18903",5.31649622277724e-09,9.18336114214389e-06,7.42444033917664e-06,"COL11A1/CHI3L1/MSX1/BMP3/ADAMTS12/MEF2C/TGFBI/MSX2/BMP6/BMP5/SCIN/LOXL2/STC1/SULF1/CCN4/COL27A1/BARX2/ACVRL1/BMP4/SMPD3/KAT2A/AXIN2/SOX9/COMP/BMP2/SNAI1/BMP7/TIMP1/BGN",29
"GO:0061448","connective tissue development","34/788","274/18903",1.35638408546538e-08,1.7571955827204e-05,1.4206338579348e-05,"COL11A1/HMGCS2/IL6R/CHI3L1/MSX1/PPARGC1A/BMP3/ADAMTS12/MEF2C/TGFBI/MSX2/BMP6/BMP5/SCIN/LOXL2/STC1/SULF1/CCN4/COL27A1/DGAT2/PDGFD/BARX2/ACVRL1/BMP4/SMPD3/KAT2A/AXIN2/SOX9/COMP/BMP2/SNAI1/BMP7/TIMP1/BGN",34
"GO:0030003","cellular cation homeostasis","49/788","499/18903",2.51362868121586e-08,2.2028478806672e-05,1.78092883565692e-05,"SLC9A1/AGT/SLC9A2/SLC39A10/SLC11A1/CCR2/SLC9A9/P2RY1/SLC4A4/CXCL11/EDNRA/SLC12A2/STC2/BMP6/SCGN/SRI/TFR2/SLC26A3/STC1/SCARA5/JPH1/CA2/MYC/THY1/SLC39A5/BDKRB1/ANKRD9/CHP1/CEMIP/SCNN1B/MT2A/MT1E/MT1M/MT1F/MT1G/MT1X/CA7/P2RX1/ATP2A3/CCL15/CCL23/BCL2/SLC25A23/SLC4A11/EDN3/LIME1/TMPRSS3/HMOX1/SLC9A7",49
"GO:0042445","hormone metabolic process","31/788","241/18903",2.550576473177e-08,2.2028478806672e-05,1.78092883565692e-05,"RETSAT/DHRS9/UGT1A8/CPA3/CLCN2/SULT1B1/SPP1/ADH6/ADH1C/NR3C1/STC2/BMP6/BMP5/CYP2W1/AKR1B10/SHH/PCSK5/CEL/AKR1C2/PAPSS2/DGAT2/RDH5/CYP27B1/EDNRB/CTSG/DIO2/SCNN1B/SULT1A1/HSD17B2/DHRS11/BMP2",31
"GO:0072001","renal system development","36/788","318/18903",5.62568054422311e-08,3.66486912037909e-05,2.96292410959166e-05,"PCSK9/TACSTD2/HMGCS2/IL6R/PROX1/CENPF/AGT/EDNRA/HPGD/MEF2C/BMP6/SOX4/PTK7/TCF21/SHH/ANGPT2/SULF1/MYC/PCSK5/ITGA8/PLCE1/HELLS/FGFR2/PDGFD/LGR5/EDNRB/COL4A1/BMP4/GCNT3/STRA6/RPGRIP1L/SOX9/BCL2/BMP2/BMP7/LIF",36
"GO:0000280","nuclear division","47/788","481/18903",5.6578450333911e-08,3.66486912037909e-05,2.96292410959166e-05,"KIF2C/RAD54L/CDC14A/NUF2/ASPM/KIF14/NEK2/CENPF/KAT2B/SGO1/MSX1/NCAPG/EREG/CENPE/MAD2L1/MND1/MSX2/NCAPG2/NPM2/DSCC1/MTBP/MAPK15/CKS2/KIF18A/CDCA5/CHEK1/PDE3A/BRCA2/MZT1/RPL10L/BMP4/DPF3/BUB1B/KIF23/PKMYT1/SMPD3/FANCA/CDC6/TOP2A/KIF18B/EME1/UBE2S/CDC25B/AURKA/BMP7/EDN3/LIF",47
"GO:0001701","in utero embryonic development","41/788","393/18903",6.82463258001122e-08,3.92947178106868e-05,3.1768465109292e-05,"SLC25A34/GJB3/TENT5C/NEK2/SLC25A20/MSX1/SMIM14/LEF1/EDNRA/MDFI/BMP5/CITED2/TWIST1/ZP3/WNT2/XRCC2/NCAPG2/NPM2/APBA1/KLF4/FGFR2/ASCL2/FOSL1/CHEK1/TEAD4/ACVRL1/E2F7/BRCA2/ATP11A/JAG2/RPGRIP1L/HSD17B2/FKBP10/KAT2A/PLCD3/TMEM100/BMP2/GINS1/SNAI1/BMP7/LIF",41
"GO:0034754","cellular hormone metabolic process","22/788","141/18903",9.06063956365414e-08,4.69522342188557e-05,3.79593110140458e-05,"RETSAT/DHRS9/UGT1A8/CLCN2/SPP1/ADH6/ADH1C/BMP6/BMP5/CYP2W1/AKR1B10/SHH/CEL/AKR1C2/DGAT2/RDH5/EDNRB/SCNN1B/SULT1A1/HSD17B2/DHRS11/BMP2",22
"GO:2000241","regulation of reproductive process","27/788","206/18903",1.3688471904846e-07,6.44851467371925e-05,5.21340843840066e-05,"OVGP1/ASPM/P2RY1/MSX1/KIT/HPGDS/UNC5C/MSX2/CITED2/INHBA/ZP3/SHH/NPM2/SULF1/MAPK15/PDE3A/EDNRB/BMP4/PLA2G10/FANCA/SOX9/CDC25B/SNAI1/AURKA/BMP7/LIF/TIMP1",27
"GO:0001655","urogenital system development","38/788","360/18903",1.52558833953706e-07,6.58799897956755e-05,5.32617683452413e-05,"PCSK9/TACSTD2/HMGCS2/IL6R/PROX1/CENPF/AGT/EPHB3/EDNRA/HPGD/MEF2C/BMP6/SOX4/PTK7/TCF21/SHH/ANGPT2/SULF1/MYC/PCSK5/ITGA8/PLCE1/HELLS/FGFR2/PDGFD/LGR5/EDNRB/COL4A1/BMP4/GCNT3/STRA6/RPGRIP1L/SOX9/BCL2/SERPINB5/BMP2/BMP7/LIF",38
"GO:0071248","cellular response to metal ion","26/788","198/18903",2.24260702666917e-07,8.93937662476894e-05,7.22718701712007e-05,"ECT2/CLDN1/MEF2C/SLC12A2/BMP6/CPNE5/TFR2/AOC1/SHH/ANK3/SMPD1/SYT7/CPNE8/P2RX4/ITPKA/CHP2/MT2A/MT1E/MT1M/MT1F/MT1G/MT1X/SMPD3/CPNE7/SLC25A23/HMOX1",26
"GO:0001822","kidney development","34/788","309/18903",2.59433656286628e-07,9.60275147769505e-05,7.76350339865248e-05,"PCSK9/TACSTD2/HMGCS2/IL6R/PROX1/CENPF/AGT/EDNRA/HPGD/MEF2C/BMP6/SOX4/PTK7/TCF21/SHH/ANGPT2/SULF1/MYC/PCSK5/ITGA8/PLCE1/HELLS/FGFR2/PDGFD/EDNRB/BMP4/GCNT3/STRA6/RPGRIP1L/SOX9/BCL2/BMP2/BMP7/LIF",34
"GO:0009410","response to xenobiotic stimulus","42/788","432/18903",3.31849792909928e-07,0.000114643041790617,9.26850649671239e-05,"CTPS1/RAD54L/LRP8/HMGCS2/TXNIP/FMO5/FMO4/CENPF/UGT1A8/UGT1A10/SULT1B1/TLR3/CMBL/ITGA2/CCNO/MEF2C/CYP2W1/INHBA/NAT1/NAT2/FZD3/MYC/CA9/CDK1/SMPD1/FOSL1/CCND1/PDE3A/ACACB/PDX1/SORD/SCNN1B/SULT1A2/SULT1A1/CES2/CES3/HSD11B2/CDH3/BCL2/SMOX/E2F1/HMOX1",42
"GO:2000027","regulation of animal organ morphogenesis","20/788","129/18903",3.84861000419883e-07,0.000120617079237042,9.75148744364963e-05,"GRHL3/TACSTD2/AGT/CELSR3/MSX1/PTK7/CITED2/WNT2/SHH/FZD3/SULF1/SAPCD2/BMP4/NKD1/SP6/SOX9/BMP2/BMP7/ZNRF3/CELSR1",20
"GO:0001889","liver development","21/788","141/18903",3.95694779434526e-07,0.000120617079237042,9.75148744364963e-05,"PCSK9/HMGCS2/PROX1/UGT1A8/UGT1A10/CLDN1/ITGA2/CITED2/MET/PTN/CDKN2B/CCND1/E2F7/PDX1/RPGRIP1L/SLC7A5/CDK5RAP3/SOX9/AURKA/PCK1/HMOX1",21
"GO:0003197","endocardial cushion development","12/788","48/18903",4.42319693754507e-07,0.000127338925168659,0.000102949262055143,"MSX1/MSX2/BMP5/CITED2/TWIST1/ACVRL1/BMP4/TMEM100/SOX9/BMP2/SNAI1/BMP7",12
"GO:0060348","bone development","28/788","233/18903",4.99108479464771e-07,0.000127610100535308,0.00010316849826942,"SP5/MSX1/KIT/ADAMTS12/PTGER4/MEF2C/MSX2/BMP6/CITED2/TWIST1/SFRP4/STC1/SULF1/CCN4/COL27A1/PAPSS2/FGFR2/BMP4/TTC9/SMPD3/SPNS2/KAT2A/AXIN2/SOX9/COMP/BMP2/PLS3/BGN",28
"GO:0030198","extracellular matrix organization","34/788","318/18903",5.09441575278729e-07,0.000127610100535308,0.00010316849826942,"PDPN/COL11A1/AGT/FAP/COL8A1/ADAMTS12/TGFBI/ADAMTS2/ADTRP/COL12A1/COL10A1/LOXL2/SULF1/MATN2/ADAMTSL1/COL27A1/ITGA8/HPSE2/MMP7/MMP1/MMP3/MMP12/COL4A1/CTSG/WDR72/TPSAB1/SMPD3/MMP28/FKBP10/SOX9/SERPINB5/COMP/BMP2/EGFL6",34
"GO:2000243","positive regulation of reproductive process","16/788","87/18903",5.30251246571079e-07,0.000127610100535308,0.00010316849826942,"P2RY1/MSX1/UNC5C/MSX2/CITED2/INHBA/ZP3/SHH/NPM2/MAPK15/PDE3A/EDNRB/PLA2G10/SOX9/CDC25B/AURKA",16
"GO:0043062","extracellular structure organization","34/788","319/18903",5.48061722667964e-07,0.000127610100535308,0.00010316849826942,"PDPN/COL11A1/AGT/FAP/COL8A1/ADAMTS12/TGFBI/ADAMTS2/ADTRP/COL12A1/COL10A1/LOXL2/SULF1/MATN2/ADAMTSL1/COL27A1/ITGA8/HPSE2/MMP7/MMP1/MMP3/MMP12/COL4A1/CTSG/WDR72/TPSAB1/SMPD3/MMP28/FKBP10/SOX9/SERPINB5/COMP/BMP2/EGFL6",34
"GO:0061008","hepaticobiliary system development","21/788","144/18903",5.66389871152467e-07,0.000127610100535308,0.00010316849826942,"PCSK9/HMGCS2/PROX1/UGT1A8/UGT1A10/CLDN1/ITGA2/CITED2/MET/PTN/CDKN2B/CCND1/E2F7/PDX1/RPGRIP1L/SLC7A5/CDK5RAP3/SOX9/AURKA/PCK1/HMOX1",21
"GO:0060562","epithelial tube morphogenesis","35/788","335/18903",6.01057516671617e-07,0.00012977833547468,0.000104921443699695,"GRHL3/TACSTD2/PRKACB/PROX1/AGT/AREG/LEF1/EDNRA/ADAMTS12/MEF2C/NR3C1/MSX2/SOX4/PTK7/BMP5/TCF21/CITED2/MTHFD1L/TWIST1/MET/WNT2/SHH/FZD3/MYC/FGFR2/ACVRL1/LGR5/COL4A1/BMP4/KAT2A/SOX9/BCL2/BMP2/BMP7/CELSR1",35
"GO:0045229","external encapsulating structure organization","34/788","321/18903",6.33601287244666e-07,0.000131332874820074,0.000106178236767738,"PDPN/COL11A1/AGT/FAP/COL8A1/ADAMTS12/TGFBI/ADAMTS2/ADTRP/COL12A1/COL10A1/LOXL2/SULF1/MATN2/ADAMTSL1/COL27A1/ITGA8/HPSE2/MMP7/MMP1/MMP3/MMP12/COL4A1/CTSG/WDR72/TPSAB1/SMPD3/MMP28/FKBP10/SOX9/SERPINB5/COMP/BMP2/EGFL6",34
"GO:0008202","steroid metabolic process","34/788","323/18903",7.31416802127902e-07,0.000145776994947184,0.000117855824796318,"PCSK9/HMGCS2/FMO5/NR5A2/PROX1/DHRS9/UGT1A8/CLCN2/KIT/SPP1/NR3C1/BMP6/BMP5/OSBPL3/SHH/SQLE/AKR1C2/SMPD1/DGAT2/RDH5/CYP27B1/EDNRB/SCNN1B/APOBR/SULT1A2/SULT1A1/HSD11B2/HSD17B2/DHRS11/ACAA2/ATP8B1/SULT2B1/BMP2/SNAI1",34
"GO:0062012","regulation of small molecule metabolic process","35/788","339/18903",7.94795117793504e-07,0.000152541788903924,0.000123324934456848,"PINK1/GUCA2A/FMO5/FMO4/PROX1/ZNF692/FABP1/PID1/UGT1A8/KAT2B/MST1/P2RY1/CLCN2/PPARGC1A/KIT/SLC4A4/SLC7A11/NR3C1/BMP6/BMP5/TWIST1/MLXIPL/GPT/DGAT2/CYP27B1/APPL2/ACACB/KAT2A/BRCA1/SOX9/PMAIP1/TRIB3/BMP2/FOXA2/SNAI1",35
"GO:0006814","sodium ion transport","29/788","255/18903",9.94558257914192e-07,0.000184064317589691,0.000148809844605206,"SLC9A1/SLC6A9/PCSK9/SLC5A6/CNNM4/SLC9A2/SCN9A/SERPINE2/SLC6A6/SLC9A9/SLC4A4/EDNRA/SLC12A2/SLC22A5/ADRB2/SLC17A4/SLC28A3/ANK3/ASIC1/TESC/P2RX4/EDNRB/CHP1/SCNN1B/CHP2/FXYD5/SLC4A11/SLC9A7/SLC6A14",29
"GO:0006875","cellular metal ion homeostasis","40/788","420/18903",1.0703783991436e-06,0.000191265547046971,0.000154631797771018,"SLC9A1/AGT/SLC39A10/SLC11A1/CCR2/P2RY1/CXCL11/EDNRA/SLC12A2/STC2/BMP6/SCGN/SRI/TFR2/STC1/SCARA5/JPH1/MYC/THY1/SLC39A5/BDKRB1/ANKRD9/CEMIP/SCNN1B/MT2A/MT1E/MT1M/MT1F/MT1G/MT1X/P2RX1/ATP2A3/CCL15/CCL23/BCL2/SLC25A23/EDN3/LIME1/TMPRSS3/HMOX1",40
"GO:0002062","chondrocyte differentiation","18/788","114/18903",1.10898968829295e-06,0.000191559485491135,0.000154869437172138,"COL11A1/ADAMTS12/MEF2C/TGFBI/MSX2/BMP6/SCIN/LOXL2/SULF1/CCN4/COL27A1/ACVRL1/BMP4/SMPD3/AXIN2/SOX9/COMP/BMP2",18
"GO:0071241","cellular response to inorganic substance","27/788","229/18903",1.15834517728657e-06,0.000192210611636962,0.000155395850883648,"ECT2/CLDN1/MEF2C/SLC12A2/BMP6/CPNE5/TFR2/AOC1/SHH/ANK3/SMPD1/SYT7/MMP3/CPNE8/P2RX4/ITPKA/CHP2/MT2A/MT1E/MT1M/MT1F/MT1G/MT1X/SMPD3/CPNE7/SLC25A23/HMOX1",27
"GO:0010038","response to metal ion","36/788","360/18903",1.18694318262887e-06,0.000192210611636962,0.000155395850883648,"HMGCS2/TXNIP/ECT2/CLDN1/KIT/HOMER1/MEF2C/SLC12A2/BMP6/CPNE5/TFR2/AOC1/SHH/LOXL2/ANK3/CDK1/SMPD1/SYT7/CCND1/CPNE8/P2RX4/PDX1/ITPKA/SORD/CHP2/MT2A/MT1E/MT1M/MT1F/MT1G/MT1X/SMPD3/CPNE7/BCL2/SLC25A23/HMOX1",36
