"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022407","regulation of cell-cell adhesion","105/1430","490/18903",5.02527599224815e-23,2.57189138588384e-19,2.02851369656431e-19,"TNFRSF14/RUNX3/LAPTM5/VCAM1/PTPN22/VTCN1/TNFAIP8L2/CD1D/FCGR2B/PTPRC/HLX/NLRP3/EPCAM/ZAP70/EPB41L5/ITGA4/IGFBP2/CCR2/HHLA2/TIGIT/CD86/IL20RB/RHOH/CXCL13/MYO10/CD74/HAVCR2/HLA-G/HLA-A/HLA-DRA/HLA-DQA1/HLA-DQB1/HLA-DQA2/HLA-DQB2/HLA-DOB/HLA-DPA1/HLA-DPB1/VEGFA/PKHD1/CARD11/CAV1/ZDHHC2/IDO1/PAG1/ASS1/PRKCQ/GATA3/CXCL12/ALOX5/ANK3/ADAM8/TSPAN32/SPI1/CD6/CD5/FERMT3/CCDC88B/CD3E/WNK1/CD27/LAG3/CD4/NCKAP1L/RGCC/TNFSF13B/PNP/ARG2/ABAT/SPN/CORO1A/PYCARD/CDH1/PIK3R6/LGALS9/CCL5/ERBB2/CCR7/PRKCA/CD300A/FOXJ1/EMILIN2/FSTL3/EBI3/TNFSF9/CD70/VAV1/DHPS/RASAL3/FCHO1/JAK3/IL12RB1/FXYD5/NFKBID/TGFB1/IL4I1/LILRB2/LILRB1/LILRB4/SIRPB1/SIRPG/ADA/BMP7/ITGB2/LGALS1/SASH3",105
"GO:0050863","regulation of T cell activation","89/1430","376/18903",9.32914310630678e-23,2.57189138588384e-19,2.02851369656431e-19,"TNFRSF14/RUNX3/ZNF683/LAPTM5/VCAM1/PTPN22/CD2/VTCN1/TNFAIP8L2/CD1D/FCGR2B/PTPRC/HLX/NLRP3/CYP26B1/ZAP70/IGFBP2/CCR2/HHLA2/TIGIT/CD86/IL20RB/RHOH/CD74/HAVCR2/HLA-G/HLA-A/HLA-DRA/HLA-DQA1/HLA-DQB1/HLA-DQA2/HLA-DQB2/HLA-DOB/HLA-DPA1/HLA-DPB1/PRDM1/CARD11/CAV1/IDO1/TOX/PAG1/SIT1/TNFSF8/PRKCQ/GATA3/ADAM8/TSPAN32/CD6/CD5/CCDC88B/CD3E/CD27/LAG3/CD4/NCKAP1L/TNFSF13B/PNP/ARG2/BATF/SPN/CORO1A/PYCARD/PIK3R6/LGALS9/CCL5/ERBB2/CCR7/CD300A/FOXJ1/EBI3/TNFSF9/CD70/VAV1/DHPS/RASAL3/FCHO1/JAK3/IL12RB1/NFKBID/IL4I1/LILRB2/LILRB1/LILRB4/SIRPB1/SIRPG/ADA/RAC2/LGALS1/SASH3",89
"GO:0007159","leukocyte cell-cell adhesion","94/1430","414/18903",1.37289575758924e-22,2.57189138588384e-19,2.02851369656431e-19,"TNFRSF14/RUNX3/LAPTM5/VCAM1/PTPN22/VTCN1/TNFAIP8L2/CD1D/FCGR2B/PTPRC/HLX/NLRP3/ZAP70/ITGA4/IGFBP2/CCR2/HHLA2/TIGIT/CD86/PODXL2/IL20RB/RHOH/CD74/HAVCR2/HLA-G/HLA-A/HLA-DRA/HLA-DQA1/HLA-DQB1/HLA-DQA2/HLA-DQB2/HLA-DOB/HLA-DPA1/HLA-DPB1/CARD11/CAV1/IDO1/PAG1/ASS1/PRKCQ/GATA3/CXCL12/ALOX5/ADAM8/TSPAN32/CD6/CD5/FERMT3/CCDC88B/CD3E/WNK1/CD27/LAG3/CD4/ITGA5/NCKAP1L/SELPLG/TNFSF13B/PNP/ARG2/UMOD/SPN/CORO1A/ITGAL/PYCARD/PIK3R6/LGALS9/CCL5/ERBB2/CCR7/CD300A/FOXJ1/EBI3/TNFSF9/CD70/VAV1/DHPS/RASAL3/FCHO1/JAK3/IL12RB1/NFKBID/IL4I1/LILRB2/LILRB1/LILRB4/SIRPB1/SIRPG/ADA/BMP7/ITGB2/RAC2/LGALS1/SASH3",94
"GO:0002443","leukocyte mediated immunity","100/1430","463/18903",3.05876824726278e-22,4.2975693874042e-19,3.38959818137462e-19,"C1QA/C1QC/C1QB/CD2/FCGR1A/CD1D/SLAMF6/CD84/SLAMF7/FCER1G/FCGR3A/FCGR2B/PTPRC/SUSD4/NLRP3/CD8A/INPP5D/CCR2/DNASE1L3/CD96/GATA2/IL20RB/SPON2/ANXA3/TLR3/C7/GAPT/CD74/HAVCR2/BTN3A2/HLA-F/HLA-G/HLA-A/HLA-B/C2/C4A/C4B/HLA-DRA/HLA-DQA1/HLA-DQB1/HLA-DQA2/HLA-DQB2/HLA-DOB/HLA-DPA1/HLA-DPB1/TREM2/MYO1G/LAT2/C5/CARD9/GATA3/PRF1/SPI1/CADM1/CD27/LAG3/KLRB1/CLEC7A/NCKAP1L/P2RX7/SLC15A4/GZMB/BATF/CTSH/DNASE1/SCNN1B/CORO1A/ITGAM/SCIMP/PIK3R6/LGALS9/CCL3/MILR1/CD300A/UNC13D/FOXJ1/GZMM/CD70/C3/VAV1/PRAM1/ADGRE2/JAK3/IL12RB1/TYROBP/TGFB1/IL4I1/NKG7/LILRB1/LILRB4/SLA2/CD40/ITGB2/HMOX1/RAC2/TLR8/WAS/BTK/SH2D1A/SASH3",100
"GO:0032944","regulation of mononuclear cell proliferation","67/1430","243/18903",3.02229231711512e-21,3.3970565644374e-18,2.6793416731309e-18,"TNFRSF4/TNFRSF14/VCAM1/VAV3/PTPN22/VTCN1/CD1D/MNDA/FCGR3A/FCGR2B/PTPRC/RASSF5/TACR1/ZAP70/IGFBP2/INPP5D/CCR2/HHLA2/CD86/IL20RB/ST6GAL1/CD74/HAVCR2/HLA-G/HLA-A/LST1/HLA-DPA1/HLA-DPB1/CARD11/IDO1/TNFSF8/PRKCQ/TSPAN32/CD6/CCDC88B/CD3E/NCKAP1L/GPR183/TNFSF13B/PNP/ARG2/SPN/CORO1A/PYCARD/LGALS9/CCL5/ERBB2/IKZF3/CD300A/FOXJ1/EBI3/TNFSF9/CD70/DHPS/RASAL3/JAK3/IL12RB1/TYROBP/IL4I1/LILRB2/LILRB1/LILRB4/ADA/CD40/RAC2/BTK/SASH3",67
"GO:0050670","regulation of lymphocyte proliferation","66/1430","239/18903",5.47842206856695e-21,5.13145533755771e-18,4.04730444398867e-18,"TNFRSF4/TNFRSF14/VCAM1/VAV3/PTPN22/VTCN1/CD1D/MNDA/FCGR3A/FCGR2B/PTPRC/RASSF5/TACR1/ZAP70/IGFBP2/INPP5D/CCR2/HHLA2/CD86/IL20RB/CD74/HAVCR2/HLA-G/HLA-A/LST1/HLA-DPA1/HLA-DPB1/CARD11/IDO1/TNFSF8/PRKCQ/TSPAN32/CD6/CCDC88B/CD3E/NCKAP1L/GPR183/TNFSF13B/PNP/ARG2/SPN/CORO1A/PYCARD/LGALS9/CCL5/ERBB2/IKZF3/CD300A/FOXJ1/EBI3/TNFSF9/CD70/DHPS/RASAL3/JAK3/IL12RB1/TYROBP/IL4I1/LILRB2/LILRB1/LILRB4/ADA/CD40/RAC2/BTK/SASH3",66
"GO:1903037","regulation of leukocyte cell-cell adhesion","86/1430","377/18903",6.74312653547766e-21,5.41376730419778e-18,4.26997080314232e-18,"TNFRSF14/RUNX3/LAPTM5/VCAM1/PTPN22/VTCN1/TNFAIP8L2/CD1D/FCGR2B/PTPRC/HLX/NLRP3/ZAP70/ITGA4/IGFBP2/CCR2/HHLA2/TIGIT/CD86/IL20RB/RHOH/CD74/HAVCR2/HLA-G/HLA-A/HLA-DRA/HLA-DQA1/HLA-DQB1/HLA-DQA2/HLA-DQB2/HLA-DOB/HLA-DPA1/HLA-DPB1/CARD11/CAV1/IDO1/PAG1/ASS1/PRKCQ/GATA3/CXCL12/ALOX5/ADAM8/TSPAN32/CD6/CD5/CCDC88B/CD3E/WNK1/CD27/LAG3/CD4/NCKAP1L/TNFSF13B/PNP/ARG2/SPN/CORO1A/PYCARD/PIK3R6/LGALS9/CCL5/ERBB2/CCR7/CD300A/FOXJ1/EBI3/TNFSF9/CD70/VAV1/DHPS/RASAL3/FCHO1/JAK3/IL12RB1/NFKBID/IL4I1/LILRB2/LILRB1/LILRB4/SIRPB1/SIRPG/ADA/ITGB2/LGALS1/SASH3",86
"GO:0070663","regulation of leukocyte proliferation","70/1430","269/18903",1.37535512135995e-20,9.66186972755365e-18,7.62055317900888e-18,"TNFRSF4/TNFRSF14/VCAM1/VAV3/PTPN22/VTCN1/CD1D/MNDA/FCGR3A/FCGR2B/PTPRC/RASSF5/TACR1/ZAP70/IGFBP2/INPP5D/CCR2/HHLA2/CD86/IL20RB/ST6GAL1/CSF1R/CD74/HAVCR2/HLA-G/HLA-A/LST1/HLA-DPA1/HLA-DPB1/ENPP3/CARD11/IDO1/TNFSF8/PRKCQ/TSPAN32/CD6/CCDC88B/CD3E/NCKAP1L/GPR183/TNFSF13B/PNP/ARG2/NMB/SPN/CORO1A/PYCARD/LGALS9/CCL5/ERBB2/IKZF3/CD300A/FOXJ1/EBI3/TNFSF9/CD70/DHPS/RASAL3/JAK3/IL12RB1/TYROBP/IL4I1/LILRB2/LILRB1/LILRB4/ADA/CD40/RAC2/BTK/SASH3",70
"GO:0050870","positive regulation of T cell activation","66/1430","251/18903",9.61790147411243e-20,6.00584514272354e-17,4.73695708859502e-17,"TNFRSF14/RUNX3/VCAM1/PTPN22/VTCN1/CD1D/PTPRC/HLX/NLRP3/ZAP70/IGFBP2/CCR2/HHLA2/CD86/RHOH/CD74/HAVCR2/HLA-G/HLA-A/HLA-DRA/HLA-DQA1/HLA-DQB1/HLA-DQA2/HLA-DQB2/HLA-DOB/HLA-DPA1/HLA-DPB1/CARD11/CAV1/PRKCQ/GATA3/ADAM8/CD6/CD5/CCDC88B/CD3E/CD27/CD4/NCKAP1L/TNFSF13B/PNP/CORO1A/PYCARD/PIK3R6/LGALS9/CCL5/CCR7/EBI3/TNFSF9/CD70/VAV1/DHPS/RASAL3/FCHO1/JAK3/IL12RB1/NFKBID/IL4I1/LILRB2/LILRB1/LILRB4/SIRPB1/SIRPG/ADA/LGALS1/SASH3",66
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","69/1430","275/18903",2.26703780976406e-19,1.2740752490874e-16,1.00489433862279e-16,"TNFRSF14/RUNX3/VCAM1/PTPN22/VTCN1/CD1D/PTPRC/HLX/NLRP3/ZAP70/ITGA4/IGFBP2/CCR2/HHLA2/CD86/RHOH/CD74/HAVCR2/HLA-G/HLA-A/HLA-DRA/HLA-DQA1/HLA-DQB1/HLA-DQA2/HLA-DQB2/HLA-DOB/HLA-DPA1/HLA-DPB1/CARD11/CAV1/PRKCQ/GATA3/ALOX5/ADAM8/CD6/CD5/CCDC88B/CD3E/CD27/CD4/NCKAP1L/TNFSF13B/PNP/CORO1A/PYCARD/PIK3R6/LGALS9/CCL5/CCR7/EBI3/TNFSF9/CD70/VAV1/DHPS/RASAL3/FCHO1/JAK3/IL12RB1/NFKBID/IL4I1/LILRB2/LILRB1/LILRB4/SIRPB1/SIRPG/ADA/ITGB2/LGALS1/SASH3",69
