"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001667","ameboidal-type cell migration","83/1187","492/18903",9.56746381216439e-17,5.330990836138e-13,3.89949682954742e-13,"EPHA2/EDN2/PLPP3/JUN/DDR2/PROX1/AKT3/TACR1/ATOH8/ZEB2/ACVR1C/DPP4/FAP/MIR10B/FN1/TNS1/PPARG/TGFBR2/HYAL1/SEMA3G/ADAMTS9/AMOTL2/P2RY12/S100P/SLIT2/KIT/ANXA3/FGF2/SEMA5A/FGF1/MIR145/FAT2/EDN1/GPLD1/DAAM2/SASH1/AKAP12/MEOX2/AQP1/BMPER/SEMA3A/SEMA3D/PTN/EGR3/ADGRA2/SOX17/ANGPT1/CCN3/ENPP2/KANK1/TEK/ANXA1/MIR27B/KLF4/GATA3/RET/ARID5B/MMRN2/ACTA2/LGALS12/CD248/FOLR1/AMOTL1/NR4A1/DCN/RGCC/EDNRB/IRS2/PRKD1/CLEC14A/RHOJ/FGF7/CDH5/CDH13/STAT5A/PRKCA/CYGB/PTPRM/EDN3/SOX10/MIR221/PAK3/GPC3",83
"GO:0030198","extracellular matrix organization","58/1187","318/18903",1.52477095675147e-13,3.22132737690629e-10,2.35632667158748e-10,"ANGPTL7/CCN1/COL11A1/ADAMTSL4/DDR2/DPT/FMOD/LAMB3/MATN3/VIT/DPP4/FAP/ADAMTS9/ABI3BP/CCDC80/COL6A6/PDGFRA/PRDM5/NDNF/TLL1/EGFLAM/TNXB/COL10A1/LAMA2/CAV2/CAV1/MATN2/COL14A1/RECK/ECM2/LOXL4/HPSE2/COL17A1/ADAM8/CREB3L1/MMP1/MMP3/MMP13/NTN4/POSTN/RGCC/CMA1/CTSG/FLRT2/FBLN5/MYH11/HAS3/MFAP4/MMP28/GFAP/COMP/HPN/KLK4/BMP2/ADAMTS1/ADAMTS5/GPM6B/COL4A6",58
"GO:0043062","extracellular structure organization","58/1187","319/18903",1.75306872677342e-13,3.22132737690629e-10,2.35632667158748e-10,"ANGPTL7/CCN1/COL11A1/ADAMTSL4/DDR2/DPT/FMOD/LAMB3/MATN3/VIT/DPP4/FAP/ADAMTS9/ABI3BP/CCDC80/COL6A6/PDGFRA/PRDM5/NDNF/TLL1/EGFLAM/TNXB/COL10A1/LAMA2/CAV2/CAV1/MATN2/COL14A1/RECK/ECM2/LOXL4/HPSE2/COL17A1/ADAM8/CREB3L1/MMP1/MMP3/MMP13/NTN4/POSTN/RGCC/CMA1/CTSG/FLRT2/FBLN5/MYH11/HAS3/MFAP4/MMP28/GFAP/COMP/HPN/KLK4/BMP2/ADAMTS1/ADAMTS5/GPM6B/COL4A6",58
"GO:0045229","external encapsulating structure organization","58/1187","321/18903",2.31251067976044e-13,3.22132737690629e-10,2.35632667158748e-10,"ANGPTL7/CCN1/COL11A1/ADAMTSL4/DDR2/DPT/FMOD/LAMB3/MATN3/VIT/DPP4/FAP/ADAMTS9/ABI3BP/CCDC80/COL6A6/PDGFRA/PRDM5/NDNF/TLL1/EGFLAM/TNXB/COL10A1/LAMA2/CAV2/CAV1/MATN2/COL14A1/RECK/ECM2/LOXL4/HPSE2/COL17A1/ADAM8/CREB3L1/MMP1/MMP3/MMP13/NTN4/POSTN/RGCC/CMA1/CTSG/FLRT2/FBLN5/MYH11/HAS3/MFAP4/MMP28/GFAP/COMP/HPN/KLK4/BMP2/ADAMTS1/ADAMTS5/GPM6B/COL4A6",58
"GO:0140014","mitotic nuclear division","58/1187","325/18903",3.99112791632978e-13,4.44771294995791e-10,3.25339942990082e-10,"CDCA8/CDC20/KIF2C/NUF2/KIF14/NEK2/CENPF/ANKRD53/NCAPH/SPC25/KAT2B/SGO1/KIF15/TACC3/NCAPG/CENPE/MAD2L1/CENPK/CCNB1/CDC25C/PTTG1/DUSP1/EDN1/KIFC1/TTK/CAV2/NPM2/CDCA2/ESCO2/KIFC2/CDC14B/ZWINT/KIF11/MKI67/KIF18A/CDCA5/RACGAP1/ESPL1/IGF1/RGCC/DLGAP5/BUB1B/KIF23/PKMYT1/PLK1/CDT1/AURKB/SPAG5/CDC6/KIF18B/NDC80/MISP/SPC24/CCDC8/UBE2S/AURKA/EDN3/KIF4A",58
"GO:0000280","nuclear division","73/1187","481/18903",1.70414959040649e-12,1.58258691962416e-09,1.15762582702701e-09,"CDCA8/CDC20/KIF2C/RAD54L/NUF2/ASPM/KIF14/NEK2/CENPF/ANKRD53/CYP26B1/NCAPH/SPC25/KAT2B/SGO1/KIF15/TACC3/NCAPG/CENPE/MAD2L1/MND1/CENPK/CCNB1/CDC25C/PTTG1/DUSP1/EDN1/KIFC1/TTK/CAV2/NPM2/CDCA2/ESCO2/CCNE2/MAPK15/KIFC2/CKS2/CDC14B/ZWINT/KIF11/MKI67/KIF18A/CDCA5/RAD51AP1/RACGAP1/ESPL1/IGF1/RGCC/DLGAP5/BUB1B/RAD51/CCNB2/KIF23/PKMYT1/PLK1/CDT1/FANCA/AURKB/SPAG5/CDC6/TOP2A/KIF18B/EME1/BRIP1/NDC80/MISP/SPC24/CCDC8/UBE2S/PLCB1/AURKA/EDN3/KIF4A",73
"GO:0090130","tissue migration","60/1187","374/18903",1.68349915595991e-11,1.34006532814409e-08,9.80226876973949e-09,"EPHA2/EDN2/PLPP3/JUN/PROX1/AKT3/ACTG2/TACR1/ATOH8/ZEB2/DPP4/FAP/MIR10B/PPARG/TGFBR2/HYAL1/ADAMTS9/S100P/SLIT2/KIT/ANXA3/FGF2/SEMA5A/FGF1/FAT2/EDN1/GPLD1/DAAM2/SASH1/MEOX2/BMPER/PTN/EGR3/ADGRA2/ANGPT1/CCN3/ENPP2/KANK1/TEK/ANXA1/MIR27B/KLF4/GATA3/MMRN2/ACTA2/LGALS12/NR4A1/DCN/RGCC/IRS2/PRKD1/CLEC14A/RHOJ/FGF7/CDH5/CDH13/STAT5A/PRKCA/PTPRM/MIR221",60
"GO:0033674","positive regulation of kinase activity","72/1187","496/18903",2.07934200753874e-11,1.44826170825074e-08,1.05937003331448e-08,"EPHA2/CLSPN/ROR1/CCN1/FCGR1A/DDR2/KIF14/PROX1/EPHA4/TGFBR2/EPHB1/P2RY12/ECT2/ADIPOQ/FGFR3/DOK7/PDGFRA/KIT/PKD2/SNCA/BMPR1B/CENPE/PDE5A/FGF2/ACSL1/GHR/CCNB1/EGR1/FGF1/ADRB2/NEDD9/EDN1/SASH1/RELN/LEP/EPHB6/EZH2/NRG1/ANGPT1/VLDLR/TEK/MOB3B/CCL21/NTRK2/CKS2/TLR4/RET/NEURL1/ADRA2A/ADAM8/FZD4/PDGFD/DRD2/GPRC5A/IGF1/RGCC/CAB39L/SPRY2/PRKD1/FERMT2/TYRO3/CEMIP/NTRK3/GPRC5B/IL34/CDC6/MMD/MAP2K6/PRNP/BMP2/EDN3/PFKFB1",72
"GO:0000070","mitotic sister chromatid segregation","41/1187","204/18903",2.48140449123663e-11,1.50251419745814e-08,1.09905447775681e-08,"CDCA8/CDC20/KIF2C/NUF2/KIF14/NEK2/CENPF/ANKRD53/NCAPH/SPC25/KAT2B/SGO1/TACC3/NCAPG/CENPE/MAD2L1/CENPK/CCNB1/PTTG1/DUSP1/KIFC1/TTK/ESCO2/ZWINT/KIF11/KIF18A/CDCA5/RACGAP1/ESPL1/DLGAP5/BUB1B/KIF23/PLK1/CDT1/AURKB/SPAG5/CDC6/KIF18B/NDC80/SPC24/KIF4A",41
"GO:0007088","regulation of mitotic nuclear division","30/1187","118/18903",2.69654378581863e-11,1.50251419745814e-08,1.09905447775681e-08,"CDCA8/CDC20/NUF2/NEK2/CENPF/SPC25/MAD2L1/CCNB1/CDC25C/DUSP1/EDN1/TTK/CAV2/CDCA2/ZWINT/MKI67/ESPL1/IGF1/RGCC/DLGAP5/BUB1B/PKMYT1/PLK1/CDT1/AURKB/NDC80/SPC24/CCDC8/AURKA/EDN3",30
