"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044772","mitotic cell cycle phase transition","9/30","473/18903",3.19628116181915e-08,2.87984932679905e-05,1.99515234627238e-05,"IQGAP3/RRM2/BUB1/FAM107A/TRIP13/ANLN/MELK/BIRC5/UBE2C",9
"GO:1901987","regulation of cell cycle phase transition","8/30","453/18903",3.76623876971292e-07,0.000169669056575567,0.000117546294233672,"RRM2/BUB1/FAM107A/TRIP13/ANLN/BIRC5/UBE2C/CDC45",8
"GO:0140014","mitotic nuclear division","7/30","325/18903",6.03355640095965e-07,0.000181207810575488,0.000125540313886634,"BUB1/TRIP13/ANLN/BIRC5/TPX2/MYBL2/UBE2C",7
"GO:1901990","regulation of mitotic cell cycle phase transition","7/30","354/18903",1.06951937049286e-06,0.000240909238203516,0.00016690131229007,"RRM2/BUB1/FAM107A/TRIP13/ANLN/BIRC5/UBE2C",7
"GO:0030199","collagen fibril organization","4/30","64/18903",3.06474306161707e-06,0.000552266699703397,0.000382608975902932,"COL5A2/COL5A1/COL1A1/MMP11",4
"GO:0000280","nuclear division","7/30","481/18903",8.10164246477937e-06,0.00121659664346104,0.000842855084493714,"BUB1/TRIP13/ANLN/BIRC5/TPX2/MYBL2/UBE2C",7
"GO:0000281","mitotic cytokinesis","4/30","85/18903",9.54334889722952e-06,0.00122836533662911,0.000851008405422121,"KIF20A/ANLN/CEP55/BIRC5",4
"GO:0030071","regulation of mitotic metaphase/anaphase transition","4/30","92/18903",1.30684897765293e-05,0.00126017565058991,0.000873046510660457,"BUB1/TRIP13/BIRC5/UBE2C",4
"GO:0007091","metaphase/anaphase transition of mitotic cell cycle","4/30","95/18903",1.48406015868813e-05,0.00126017565058991,0.000873046510660457,"BUB1/TRIP13/BIRC5/UBE2C",4
"GO:1902099","regulation of metaphase/anaphase transition of cell cycle","4/30","95/18903",1.48406015868813e-05,0.00126017565058991,0.000873046510660457,"BUB1/TRIP13/BIRC5/UBE2C",4
"GO:0010965","regulation of mitotic sister chromatid separation","4/30","98/18903",1.67836934595771e-05,0.00126017565058991,0.000873046510660457,"BUB1/TRIP13/BIRC5/UBE2C",4
"GO:0044784","metaphase/anaphase transition of cell cycle","4/30","98/18903",1.67836934595771e-05,0.00126017565058991,0.000873046510660457,"BUB1/TRIP13/BIRC5/UBE2C",4
"GO:0051306","mitotic sister chromatid separation","4/30","101/18903",1.89078944327122e-05,0.00131046252952875,0.000907885133489746,"BUB1/TRIP13/BIRC5/UBE2C",4
"GO:0033045","regulation of sister chromatid segregation","4/30","107/18903",2.37412794597174e-05,0.00152792091380038,0.00105853975335432,"BUB1/TRIP13/BIRC5/UBE2C",4
"GO:1905818","regulation of chromosome separation","4/30","111/18903",2.74312332787186e-05,0.00164770274560836,0.00114152430416001,"BUB1/TRIP13/BIRC5/UBE2C",4
"GO:0061640","cytoskeleton-dependent cytokinesis","4/30","113/18903",2.942627879964e-05,0.00165706732490473,0.0011480120610649,"KIF20A/ANLN/CEP55/BIRC5",4
"GO:0032506","cytokinetic process","3/30","40/18903",3.42526524770492e-05,0.00181539058128361,0.00125769801355357,"KIF20A/ANLN/CEP55",3
"GO:0007094","mitotic spindle assembly checkpoint signaling","3/30","46/18903",5.2290034546576e-05,0.00221683954918748,0.00153582084545613,"BUB1/TRIP13/BIRC5",3
"GO:0071173","spindle assembly checkpoint signaling","3/30","46/18903",5.2290034546576e-05,0.00221683954918748,0.00153582084545613,"BUB1/TRIP13/BIRC5",3
"GO:0071174","mitotic spindle checkpoint signaling","3/30","46/18903",5.2290034546576e-05,0.00221683954918748,0.00153582084545613,"BUB1/TRIP13/BIRC5",3
"GO:0051983","regulation of chromosome segregation","4/30","132/18903",5.4077668997387e-05,0.00221683954918748,0.00153582084545613,"BUB1/TRIP13/BIRC5/UBE2C",4
"GO:0031577","spindle checkpoint signaling","3/30","47/18903",5.57954959082604e-05,0.00221683954918748,0.00153582084545613,"BUB1/TRIP13/BIRC5",3
"GO:0051304","chromosome separation","4/30","135/18903",5.90295717093586e-05,0.00221683954918748,0.00153582084545613,"BUB1/TRIP13/BIRC5/UBE2C",4
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition","3/30","48/18903",5.94515129768271e-05,0.00221683954918748,0.00153582084545613,"BUB1/TRIP13/BIRC5",3
